expediente;principioactivo;cantidad;unidadmedida;unidadreferencia;formafarmaceutica;registrosanitario;fechaexpedicion;fechavencimiento;estadoregistro
19991863;ROSUVASTATINA CALCICA EQUIVALENTE A ROSUVASTATINA;10;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0008793-R1;11/26/2008;;Vigente
19961723;NISTATINAEQUIVALENTE A NISTATINA;100000;IU;OVULO;OVULO;INVIMA 2022M-0005784-R2;05/19/2006;;Vigente
20087287;VIRUS VIVO ATENUADO DE VARICELA DE LA CEPA OKA/MERCK: 1350UFC;1350;UFC;CADA DOSIS DE 0.5ML;POLVO LIOFILIZADO;INVIMA 2016MB-0017504;12/16/2016;1/01/3000;Vigente
22543;IOHEXOL755 MG EQUIVALENTE A YODO;350;mg;ML;SOLUCION INYECTABLE;INVIMA 2022M-007394-R3;12/09/1997;;Vigente
20001632;DICLOFENACO DIETILAMINA 1.16 GEQUIVALENTE ADICLOFENACO SODICO;1;g;100G DE GEL;GEL TOPICO;INVIMA 2019M-0009976-R1;9/02/2009;;Vigente
20023091;MONTELUKAST SODICO EQUIVALENTE A MONTELUKAST;5;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2022M-0011780-R2;01/21/2011;;Vigente
20013130;BECLOMETASONA DIPROPIONATO;50;mcg;DOSIS;AEROSOLES;INVIMA 2021M-0010413-R1;2/04/2010;;Vigente
20025951;NILOTINIB CLORHIDRATO MONOHIDRATADO 165.45 MG EQUIVALENTE A NILOTINIB BASE ANHIDRA 150 MG;150;mg;C√ÅPSULA;CAPSULA DURA;INVIMA 2023M-0011944-R2;3/08/2011;;Vigente
20112029;DULOXETINA CLORHIDRATO 67.3 MG EQUIVALENTE A DULOXETINA;60;mg;CAPSULA DE LIBERACION RETARDADA;CAPSULA DURA;INVIMA 2018M-0018414;09/26/2018;;Vigente
19986299;FACTOR VIII COAGULACION HUMANO;1000;U.I.;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2020MB-0008163-R1;05/30/2008;;Vigente
19981884;ESOMEPRAZOL MAGN√âSICO TRIHIDRATO 44.5000 MG + 2.2250 MG (5% EXCESO ) EQUIVALENTE A ESOMEPRAZOL BASE;40;mg;TABLETA CON CUBIERTA ENT√âRICA;TABLETA DE LIBERACION RETARDADA;INVIMA 2020M-0008329-R1;07/30/2008;;Vigente
19940561;ACIDO ASCORBICO RECUBIERTO;70;mg;TABLETA CUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0003376-R2;5/06/2004;;Vigente
20008605;FLUORESCEINA SODICA;100;mg;ML DE SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2009M-0009897;07/28/2009;8/12/3000;Vigente
41450;ACETATO DE SODIO TRIHIDRATO;0.41;g;100 ML;SOLUCION INYECTABLE;INVIMA 2021M-012533-R3;1/01/1999;;Vigente
20001745;MENTOL;4.5;g;100 G DE UNGUENTO;UNGUENTO TOPICO;INVIMA 2019M-0009630-R1;05/18/2009;;Vigente
20078743;DICLORHIDRATO DE LEVOCETIRICINA;2.5;mg;SOBRE;POLVO PARA RECONSTITUIR A SOLUCION ORAL;INVIMA 2015M-0016065;07/17/2015;;Vigente
20101772;QUETIAPINE FUMARATE 230.240 MG EQUIVALENTE A;200;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2023M-0018719-R1;;;Vigente
20062725;DEGARELIX ACETATO;120;mg;VIAL POLVO LIOFILIZADO;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2019M-0015393-R1;11/10/2014;;Vigente
19964644;MUPIROCINA;2;g;100 G DE UNGUENTO;UNGUENTO TOPICO;INVIMA 2022M-0006299-R2;08/29/2006;;Vigente
20022732;CLORURO DE MAGNESIO HEXAHIDRATADO;0.03;g;100 ML DE SOLUCI”N;SOLUCION ESTERIL PARA IRRIGACION;INVIMA 2017M-0012311-R1;06/22/2011;;Vigente
19954782;DEXAMETASONA SODIO FOSFATO 1.46 MG EQUIVALENTE A DEXAMETASONA BASE);1;mg;1 ML DE SOLUCI”N OFT√ÅLMICA;SOLUCION OFTALMICA;INVIMA 2021M-0004964-R2;10/31/2005;;Vigente
20093958;DIENOGEST;2;mg;COMPRIMIDOS RECUBIERTOS CON PELICULA;TABLETA CUBIERTA CON PELICULA;INVIMA 2022M-0017218-R1;8/04/2016;;Vigente
19975205;CLARITROMICINA;500;mg;TABLETA;TABLETA;INVIMA 2020M-0007185-R1;07/23/2007;;Vigente
20153402;NITAZOXANIDA;2;g;CADA 33.2DE POLVO PARA RECONSTITUIR A100 ML. DESUSPENSI”N ORAL;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2019M-0018913;4/03/2019;;Vigente
20067255;DEXTROMETORFANO BROMHIDRATO;10;mg;CAPSULA DE GELATINA BLANDA;CAPSULA BLANDA;INVIMA 2019M-0015035-R1;05/19/2014;;Vigente
19993868;OXALIPLATINO;100;mg;FRASCOAMPOLLA;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2009M-0009116;01/20/2009;;Vigente
20138715;EZETIMIBA;10;mg;TABLETA;TABLETA;INVIMA 2019M-0018749;2/04/2019;;Vigente
20149117;LENVATINIB MESILATAO 12.25 MG EQUIVALENTE A LENVATINIB BASE LIBRE 10 MG;12.25;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2021M-0020573;12/15/2021;;Vigente
20123807;ROSUVASTATINA CALCICA 41.58 MG EQUIVALENTE A ROSUVASTATINA;40;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2023M-0018279-R1;7/06/2018;;Vigente
53412;YODOPOVIDONA;8;g;100 ML DE SOLUCI”N;JABON LIQUIDO;INVIMA 2016M-003802-R2;01/21/1996;;Vigente
20072860;IMIPENEM;500;mg;VIAL;POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2021M-0015732-R1;02/25/2015;;Vigente
20200150;IBUPROFENO;400;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2024M-0021345;02/26/2024;1/01/3000;Vigente
41450;CLORURO DE SODIO;0.35;g;100 ML;SOLUCION INYECTABLE;INVIMA 2021M-012533-R3;1/01/1999;;Vigente
20031866;ESOMEPRAZOL MAGNESICO TRIHIDRATO. EQUIVALENTE A ESOMEPRAZOL;20;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2022M-0012493-R2;08/30/2011;;Vigente
20168773;CETIRIZINA CLORHIDRATO (DICLORHIDRATO);10;mg;TABLETA;TABLETA;INVIMA 2021M-0020534;12/13/2021;;Vigente
19924824;DEFLAZACORT;22.75;mg;1 ML(23 GOTAS);SUSPENSION ORAL;INVIMA 2019M-0000755-R2;11/26/2001;;Vigente
20205191;ACETAMINOF√âN DC 90% EQUIVALENTE A ACETAMINOFEN;1;g;TABLETAS;TABLETA;RSM-EXP20210020585;12/24/2021;;Vigente
20191835;FEXOFENADINA;60;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2023M-0020896;3/02/2023;;Vigente
20068049;FOSFATO DE SITAGLIPTINA EQUIVALENTE A SITAGLIPTINA BASE;50;mg;TABLETA RECUBIERTA DE LIBERACION PROLONGADA;TABLETA DE LIBERACION PROLONGADA;INVIMA 2014M-0015484;11/28/2014;;Vigente
20126167;DESLORATADINA;5;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0018531-R1;11/15/2018;;Vigente
20169034;PEMETREXED DISODICO HEMIPENTAHIDRATADO EQUIVALENTE A PEMETREXED;500;mg;CADA VIAL CONTIENE;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2021M-0020457;11/02/2021;;Vigente
19974885;TIMOLOL MALEATO 6.8 MG EQUIVALENTE A TIMOLOL BASE;5;mg;CADA ML;SOLUCION OFTALMICA;INVIMA 2023M-0007162-R2;7/09/2007;;Vigente
20175677;EZETIMIBE;10;mg;TABLETA;TABLETA;INVIMA 2023M-0020924;8/09/2022;;Vigente
20101728;FACTOR VIII DE COAGULACION HUMANO RECOMBINANTE (RDNA). SIMOCTOCOG ALFA;500;UI;VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2023MBT-0017121-R1;06/23/2016;;Vigente
20007815;DICLOFENACO SODICO;75;mg;CADA AMPOLLA DE 3 ML;SOLUCION INYECTABLE;INVIMA 2019M-0009996-R1;9/07/2009;;Vigente
20152745;BUSULFAN;60;mg;POR CADA AMPOLLA;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2020M-0019846;10/08/2020;;Vigente
20016149;ORLISTAT;120;mg;CAPSULA DURA;CAPSULA DURA;INVIMA 2021M-0010790-R1;05/13/2010;;Vigente
20145819;DIDROGESTERONA MICRONIZADA (TABLETA COLOR GRIS);10;mg;POR CADA TABLETA GRIS;TABLETA RECUBIERTA;INVIMA 2020M-0019721;7/07/2020;1/01/3000;Vigente
20003855;OX√çGENO (O2) 19.5-23.5%;100;% (V/V);CADA METRO C√öBICO CONTIENE:AIRE COMPRIMIDO (MEZCLA DE NITR”GENO Y OX√çGENO)19.5 - 23.5%EN VOLUMEN DE OX√çGENO.;GAS;INVIMA 2019M-0010069-R1;09/30/2009;;Vigente
20050749;AXITINIB;5;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2023M-0014373-R2;07/18/2013;;Vigente
20174576;HIDROXIDO DEALUMINIO;4;g;100 MLDE SUSPENSION ORAL;SUSPENSION ORAL;INVIMA 2021M-0020030;02/24/2021;;Vigente
20162827;HIDROCORTISONA;10;mg;TABLETA;TABLETA;INVIMA 2020M-0019896;11/03/2020;;Vigente
20115197;NITAZOXANIDA;2;g;33.33 G DE POLVO PARA 100 ML DE SUSPENSION;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2022M-0017956-R1;12/15/2017;;Vigente
20083184;SULTAMICILINA BASE;5;g;CADA FRASCO PARA RECONSTITUIR A 100 ML;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2016M-0016768;01/29/2016;;Vigente
27958;AMBROXOL CLORHIDRATO;600;mg;100ML;JARABE;INVIMA 2022M-009406-R3;1/01/1999;;Vigente
20248098;ACIDO CLAVUL√ÅNICO;125;mg;TABLETAS RECUBIERTAS;TABLETA RECUBIERTA;INVIMA 2024M-0021394;03/14/2024;1/01/3000;Vigente
19928166;SERTRALINA CLORHIDRATO 55.96MG EQUIVALENTE A SERTRALINA BASE;50;mg;TABLETARECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021M-0001304-R2;04/17/2002;;Vigente
19962040;IBANDRONATO DE SODIO MONOHIDRATO 168.75 MG EQUIVALENTES A ACIDO IBANDRONICO;150;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2022M-0005521-R2;03/22/2006;;Vigente
20052713;SULFATO DE ZINC MONOHIDRATO0.549 G. EQUIVALENTE A ZINC BASE;200;mg;100 ML DE SOLUCION;SOLUCION ORAL;INVIMA 2022M-0014217-R1;05/15/2013;;Vigente
40062;POLISACARIDO CAPSULAR PURIFICADO DE MENINGOCOCO SEROGRUPO C;50;¬µg;DOSIS(0.5ML);SUSPENSION INYECTABLE;INVIMA 2019M-011972-R3;9/01/2000;;Vigente
19986691;CIPROFIBRATO;100;mg;TABLETA;TABLETA;INVIMA 2022M-0008261-R1;7/02/2008;;Vigente
19944764;CLOTRIMAZOL;1;g;100 ML DE SOLUCI”N T”PICA;SOLUCION TOPICA;INVIMA 2021M-0003828-R2;09/28/2004;;Vigente
24958;L-VALINA;580;mg;100 ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2022M-008027-R4;07/21/1995;;Vigente
20086892;CONDROITINA SULFATO 85%;600;mg;TABLETA CON CUBIERTA ENT√âRICA;TABLETA CON CUBIERTA ENTERICA CON PELICULA;INVIMA 2015M-0016722;12/18/2015;;Vigente
20056375;AXITINIB;1;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0014412-R2;07/22/2013;;Vigente
19986087;LIDOCAINA CLORHIDRATO;0.55;g;100ML DE SOLUCION;SOLUCION BUCAL;INVIMA 2019M-0009375-R1;03/17/2009;;Vigente
19980633;ALIZAPRIDA CLORHIDRATO 55.78 MGEQUIVALENTE A ALIZAPRIDA BASE;50;mg;2 ML DE SOLUCION INYECTABLE;SOLUCION INYECTABLE;INVIMA 2023M-0007858-R1;3/11/2008;;Vigente
20135823;LEVODROPROPIZINA;600;mg;100 ML;JARABE;INVIMA 2019M-0019331;09/26/2019;;Vigente
19926495;ACETATODECASPOFUNGINA EQUIVALENTE A CASPOFUNGINA LIBRE ANHIDRA;50;mg;FRASCOVIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2019M-0001002-R2;01/24/2002;;Vigente
20170422;PICOSULFATO S√ìDICO;7.5;mg;POR CADA ML;SOLUCION ORAL;INVIMA 2021M-0020085;03/25/2021;;Vigente
19906943;CETIRIZINA DICLORHIDRATO;10;mg;1 ML DE SOLUCION;SOLUCION ORAL;INVIMA 2015 M-014519 R-2;07/24/2000;;Vigente
217276;DESONIDA;0.05;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2022M- 012263-R2;1/01/1999;;Vigente
19901160;CLORURO DE CROMO HEXAHIDRATADO;5.33;mcg;1ML;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2019M-013086-R2;6/02/1999;;Vigente
19965865;ESCITALOPRAM OXALATO 25.54MG EQUIVALENTE A ESCITALOPRAM;20;mg;TABLETA RECUBIERTA;TABLETA CUBIERTA CON PELICULA;INVIMA 2023M-0005663-R2;04/27/2006;;Vigente
20013016;CLORURO DE AMONIO;2;g;100 ML DE JARABE;JARABE;INVIMA 2010M-0010919;6/08/2010;;Vigente
19950313;PELLETS DE ESOMEPRAZOL MAGN√âSICO TRIHIDRATO22.5% CON CUBIERTA ENT√âRICA (*)EQUIVALENTES A ESOMEPRAZOL;20;mg;CAPSULA;CAPSULA DURA;INVIMA 2016M-0004466-R1;05/25/2005;;Vigente
20047567;PACLITAXEL;100;mg;FRASCO VIAL;SOLUCION INYECTABLE;INVIMA 2012M-0013886;12/10/2012;;Vigente
20221873;OLANZAPINA;10;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2024M-0021572;07/29/2024;08/15/2029;Vigente
20137501;BETAMETASONA;0.04;g;100 GRAMOS DE CREMA;CREMA TOPICA;INVIMA 2019M-0018799;02/20/2019;;Vigente
20059777;DICLOFENACO DIETILAMONIO 0.9547 G (1.16 % ) EQUIVALENTE A DICLOFENACO POT√ÅSICO 1.0 G;1;%;100 ML DE SOLUCI”N;AEROSOLES;INVIMA 2020M-0015829-R1;04/23/2015;;Vigente
29136;MEBENDAZOL;100;mg;TABLETA;TABLETA;INVIMA 2022M-000779-R4;4/03/1998;;Vigente
20153559;COLAGENO HIDROLIZADO;10;g;SOBRE;POLVO PARA RECONSTITUIR A SOLUCION ORAL;RSM-EXP-2023M-0019130-R1;7/09/2019;;Vigente
19929393;FLUBENDAZOL;2000;mg;100 ML.;SUSPENSION ORAL;INVIMA 2017M-0001580-R2;06/26/2002;;Vigente
19919867;ATORVASTATINA CALCICA 43.40 MG EQUIVALENTE A ATORVASTATINA BASE;40;mg;TABLETA;TABLETA;INVIMA 2023M-0000961-R3;01/17/2002;;Vigente
19989136;TERBINAFINA CLORHIDRATO;1.028;g;100 ML. DE SOLUCION;SOLUCION TOPICA;INVIMA 2022M-0008560-R1;10/15/2008;;Vigente
20148741;CLORFENIRAMINA (CLORFENAMINA) MALEATO;4;mg;SOBRE DE 10 G.;POLVO PARA RECONSTITUIR A SOLUCION ORAL;INVIMA 2019M-0018787;02/18/2019;;Vigente
20137789;CODEINA FOSFATO;8;mg;TABLETA;TABLETA;INVIMA 2020M-0019628;03/19/2020;;Vigente
20097020;ALIROCUMAB;150;mg;ML DE SOLUCI”N INYECTABLE;SOLUCION INYECTABLE;INVIMA 2017M-0017764;07/14/2017;1/01/3000;Vigente
19959699;VITAMINA B1 CLORHIDRATO EQUIVALENTE A VITAMINA B1;50;mg;100 ML.;JARABE;INVIMA 2016M-0004789-R1;09/26/2005;;Vigente
20086944;OLANZAPINA;10;mg;TABLETA ORODISPERSABLE;TABLETA DISPERSABLE;INVIMA 2021M-0016393-R1;10/15/2015;;Vigente
20146599;GLUCONATO DE MANGANESO40.52 MCG EQUIVALENTE A MANGANESO;5;mcg;;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2020M-0019952;12/03/2020;;Vigente
20157042;ACETAMINOFEN EQUIVALENTE (GRANULO PARA COMPRESION DIRECTA: ACETAMINOFEN 90 %. ALMIDON PREGELATINIZADO 6.4%. ACIDO ESTEARICO 0.2%. POVIDONA 1.2%. CROSPOVIDONA 2.2%);325;mg;POR CADA TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2020M-0019877;10/20/2020;;Vigente
36324;COLCHICINA;0.5;mg;TABLETA;TABLETA;INVIMA 2016M-003065-R4;07/14/2000;;Vigente
20073098;ESOMEPRAZOL MAGNESICO TRIHIDRATO 23.0 MG( EQUIVALENTE A ESOMEPRAZOL BASE);20;mg;TABLETA DE LIBERACI”N RETARDADA;TABLETA DE LIBERACI√ìN MODIFICADA;INVIMA 2014M-0015589;12/19/2014;;Vigente
20078492;TRIMETOPRIMA;160;mg;TABLETAS;TABLETA;INVIMA 2023M-0016304-R1;09/21/2015;;Vigente
20126194;SELENITO DE SODIO (EQUIVALENTE A SELENIO 70 ¬µG);153.32;¬µg;AMPOLLAPOR 10 ML;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2019M-0018892;03/21/2019;;Vigente
48898;LEVODOPA;100;mg;SIN DATO;TABLETA;INVIMA 2008 M-010732 R1;05/21/1998;;Vigente
20150573;FOSFOMICINA TROMETAMOL EQUIVALENTE A FOSFOMICINA BASE;3;g;SOBRE POR 8.7 G;POLVO PARA RECONSTITUIR A SOLUCION ORAL;INVIMA 2019M-0018960;04/22/2019;;Vigente
7028;KETOCONAZOL;2;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2023M-005385-R3;1/01/1999;;Vigente
19999474;CLOTRIMAZOL;1;g;100 G DE CREMA;CREMA TOPICA;INVIMA 2009M-0009476;4/03/2009;1/01/3000;Vigente
20106115;VITAMINAD3 (1.000.000 UI/G) 2.0 MG EQUIVALENTES A VITAMINA D3;2000;UI;C√ÅPSULA BLANDA;CAPSULA BLANDA;INVIMA 2022M-0017442-R1;11/16/2016;;Vigente
19936554;TIMOLOL MALEATO EQUIVALENTE A TIMOLOL;5;mg;ML;SOLUCION OFTALMICA;INVIMA 2022M-0002426-R2;05/26/2003;;Vigente
20132239;MELOXICAM;1;g;100 G DE GEL;GEL TOPICO;INVIMA 2019M-0018803;02/22/2019;;Vigente
20033290;L-FENILALANINA;0.176;g;;EMULSION INYECTABLE;INVIMA 2019M-0012868-R1;2/09/2012;;Vigente
19952581;CLORURO DE BENZALCONIO;50;mg;CADA 100 ML DE SOLUCI”N;SOLUCION TOPICA;INVIMA 2016M-0004995-R1;11/08/2005;;Vigente
20147815;MESILATO DE ERIBULINA EQUIVALENTE A ERIBULINA;0.88;mg;VIAL DE 2 ML;SOLUCION INYECTABLE;INVIMA 2021M-0020463;11/08/2021;;Vigente
20007871;CLORURO DE SODIO USP;0.9;g;100 MILILITROS;SOLUCIONNASAL;INVIMA 2009M-0010175;10/27/2009;;Vigente
19949190;CETIRIZINA DICLORHIDRATO;10;mg;TABLETA;TABLETA;INVIMA 2015M-0004061-R1;01/17/2005;;Vigente
20127993;FEXOFENADINA CLORHIDRATO;600;mg;100 ML DE SUSPENSION;SUSPENSION ORAL;INVIMA 2019M-0018697;1/08/2019;;Vigente
53715;NAPROXENO;500;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2016M-003434-R2;1/01/1999;;Vigente
19942547;ACIDO ASC√ìRBICO MALLA ESPECIAL;150;mg;CAPSULA BLANDA;CAPSULA BLANDA;RSM-EXP20140003294-R1;04/19/2004;;Vigente
201885;FACTOR VIII ANTIHEMOFILICO;250;UI;FRASCO VIAL;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2018M-004879-R2;1/01/1999;1/01/3000;Vigente
35787;ACICLOVIR;5;g;100 G DE CREMA VAGINAL;CREMA VAGINAL;INVIMA 2009 M-011226-R2;9/04/1999;;Vigente
20102056;ACETAMINOFEN;500;mg;CAPSULADURA;CAPSULA DURA;INVIMA 2016M-0017266;08/25/2016;;Vigente
19977215;CEFALEXINA MONOHIDRATO EQUIVALENTE A A CEFALEXINA BASE;500;mg;C√ÅPSULA;CAPSULA DURA;INVIMA 2021M-0007206-R1;8/08/2007;;Vigente
19932060;CANDESARTAN CILEXETILO;8;mg;TABLETA;TABLETA;INVIMA 2021M-0001922-R2;09/27/2002;;Vigente
19974084;AMOXICILINA TRIHIDRATO COMPACTADA EQUIVALENTE A AMOXICILINA BASE;500;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2023M-0006751-R2;01/15/2007;;Vigente
20029582;CLORHEXIDINA GLUCONATO SOLUCIONAL 20% EQUIVALENTEA CLORHEXIDINA GLUCONATO;2;g;100 ML DE SOLUCI”N TOPICA;SOLUCION TOPICA;INVIMA 2023M-0012475-R2;08/19/2011;;Vigente
20150853;DIOSMECTITA;3;g;SACHET;POLVO PARA RECONSTITUIR A SUSPENSION ORAL;INVIMA 2019M-0018729;01/30/2019;;Vigente
19955416;METRONIDAZOL;500;mg;TABLETA;TABLETA;INVIMA 2016M-0004758-R1;9/08/2005;;Vigente
19932754;CLORURO DE SODIO;0.9;g;100 ML;SOLUCION INYECTABLE;INVIMA 2020M-0002010-R2;10/25/2002;;Vigente
20114785;TENOFOVIR ALAFENAMIDA FUMARATO 11.2MG. EQUIVALENTE A TENOFOVIR ALAFENAMIDA;10;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0019031;05/22/2019;;Vigente
20030704;NIMESULIDA MICRONIZADA;100;mg;TABLETA;TABLETA;INVIMA 2019M-0012606-R1;10/31/2011;1/01/3000;Vigente
19956814;CAPTOPRIL;50;mg;TABLETA;TABLETA;INVIMA 2022M-0005965-R2;06/29/2006;;Vigente
20122426;DEXAMETASONA;1;mg;ML DE SOLUCI”N;SOLUCION OFTALMICA;INVIMA 2018M-0018664;12/21/2018;;Vigente
20192528;BOSUTINIBDIHIDRATOEQUIVALENTE A BOSUTINIB;100;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2023M-0021200;12/12/2023;1/01/3000;Vigente
20075867;DESLORATADINA;50;mg;100 ML DEJARABE;JARABE;INVIMA 2020M-0015634-R1;01/15/2015;;Vigente
20256725;CITRATO DE SODIO DIHIDRATO;0.294;g;100 ML CONTIENE;SOLUCION ORAL;INVIMA 2024M-0021402;03/18/2024;1/01/3000;Vigente
20086181;ARGININA;11.5;g;SIN DATO;SOLUCI√ìN CONCENTRADA PARA INFUSI√ìN;INVIMA 2021M-0016886-R1;02/29/2016;;Vigente
19931579;HIDROQUINONA;4;g;100G DE CREMA;CREMA TOPICA;INVIMA 2023M-0001905-R3;09/25/2002;;Vigente
19967276;CLORHIDRATO DE BUPROPION;300;mg.;TABLETA DE LIBERACION PROLONGADA;TABLETA DE LIBERACION PROLONGADA;INVIMA 2019M-0006819-R1;02/27/2007;;Vigente
20096050;LACTOBACILLUS PARACASEI MINIMO;220;million organisms;SOBRE POR 3G DE GRANULADO;GRANULOS;INVIMA 2015M-0016363;10/08/2015;;Vigente
20143788;180.6 MG DE NINTEDANIB ESILATO EQUIVALENTE A NINTEDANIB 150 MG;150;mg;CAPSULA BLANDA;CAPSULA BLANDA;INVIMA 2019M-0018796;02/20/2019;;Vigente
20190317;ACIDO ASCORBICO;100;mg;CADA 1 ML. (20 GOTAS);SOLUCION ORAL;INVIMA 2021M-0020442;10/25/2021;;Vigente
19931123;L- ISOLEUCINA;5;g;1000 ML;SOLUCION INYECTABLE;INVIMA 2019M-0001843-R2;9/05/2002;;Vigente
228238;LEVONORGESTREL;0.1;mg;GRAGEA;TABLETA CUBIERTA (GRAGEA);INVIMA 2019M-011763-R2;10/14/1998;;Vigente
20043517;DIACEREINA;50;mg;C√ÅPSULA DURA;CAPSULA DURA;INVIMA 2020M-0013723-R1;10/26/2012;;Vigente
20208807;PROTEINA S ACTIVIDAD (12-38UI);25;UI;1 ML DE SOLUCI”N;POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2024MB-0000096;03/19/2024;1/01/3000;Vigente
20107887;AGUA ESTERIL PARA INYECCION;1;ml;1 ML DE AGUA;SOLUCION INYECTABLE;INVIMA 2016M-0017513;12/20/2016;;Vigente
20104346;SALMETEROL XINAFOATO. EQUIVALENTE A SALMETEROL BASE;25;√¶g;CADA DOSIS (ACTUACI”N / ACCIONAMIENTO) SUMINISTRA;SUSPENSION PARA INHALACION;INVIMA 2017M-0017902;10/27/2017;;Vigente
20002599;OXIBUTININO CLORURO;5;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2019M-0009879-R1;07/23/2009;;Vigente
20243391;MONTELUKAST MONOSODICO EQUIVALENTE A MONTELUKAST BASE;5;mg;TABLETA MASTICABLE;TABLETA MASTICABLE;INVIMA 2023M-0021186;12/04/2023;1/01/3000;Vigente
19976797;YODOPOVIDONA(EQUIVALENTE A 0.8 G DE YODO);8;g;100 ML DE SOLUCI”N BUCOFAR√çNGEA;SOLUCION BUCOFARINGUEA;INVIMA 2023M-0007801-R1;02/28/2008;;Vigente
224929;SULTAMICILINA TOSILATO DIHIDRATO 506.31 MG EQUIVALENTE A SULTAMICILINA BASE;375;mg;TABLETA RECUBIERTA;TABLETA RECUBIERTA;INVIMA 2021 M-010047-R2;1/01/1999;;Vigente
30620;NEOMICINA SULFATO;3500;IU;ML DE SUSPENSI”N OFT√ÅLMICA EST√âRIL;SUSPENSION OFTALMICA;INVIMA 2008M-001074-R3;3/07/1999;1/01/2099;Vigente
20086909;MEMANTINA CLORHIDRATO;10;mg;TABLETA;TABLETA RECUBIERTA;INVIMA 2023M-0016127-R1;8/03/2015;;Vigente
20061748;ACEITE DE PESCADO RICO EN ACIDOS OMEGA-3;30;g;1000ML DE SOLUCI”N;EMULSION INYECTABLE;INVIMA 2015M-0015753;3/02/2015;1/01/3000;Vigente
20097539;IRBESARTAN;150;mg;TABLETA;TABLETA;INVIMA 2023M-0016786-R1;2/03/2016;;Vigente
19950100;ALBENDAZOL;200;mg;TABLETA;TABLETA;INVIMA 2021M-0004135-R2;2/03/2005;;Vigente
19969624;METOCLOPRAMIDA CLORHIDRATO MONOHIDRATOEQUIVALENTE A METOCLOPRAMIDA BASE;10;mg;AMPOLLA 2ML;SOLUCION INYECTABLE;INVIMA 2023M-0006490-R2;10/11/2006;;Vigente
20197131;MELFALAN CLORHIDRATO 56MG EQUIVALENTE A MELFALAN;50;mg;VIAL;POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE;INVIMA 2023M-0021032;07/13/2023;;Vigente
